"Name","Bytes","Hash"
"43-inventario de reactivos N4.xlsx","460790","9D514B5369F554AA9C4A55399A1264527A2645A3E049E9D33085A22CDBE7EF4F"
"43-inventario de reactivos_LUM.xlsx","259107","5BB519AB71643F4C9FEC7D41A8AA9BFEFA8EAECF6DED1EFC1B4760E2E3F087D8"
"43-inventario de reactivos-N3 (2).xlsx","2765469","73F3AF3BCE5D2D1DFB279AA346BAB7C761103B43020CA1914F94D0E0D026CB3B"
"Inventario de Insumos y Materiales LUM E-J 2026 Rev Ais 19-05-26.xlsx","69331","236145A0D65B26A66B3AFCD9410F7A48BB7EA80451A0BA8DE0CE32FB30383990"
"Inventario de materiales y equipos - Nivel 3 - Mayo 2026.xlsx","39342","7F315EC1A041115E02BBE3590C09DB0F9FF4458B7A362D3018A979B3D6DCED29"
"Inventario de materiales, insumos Lab. Análisis Sensorial, julio-diciembre 2026.xlsx","146622","3247E6A954377730B57F9484AAD6362DBDC24B6753A820C1338C2E851AD11380"
"Inventario de materiales, insumos, Almacén Nivel 4, enero-julio 2026.xlsx","154554","EA62C66930B0C610914D366D0B3B8AFD5B45E13BF6AACF669DD9A7480A52FABB"
"Inventario Equipos EJ_2026_LUM.xlsx","13088","E626C5C9238754D2603E295624954BB96C0F2B51C8FA02935EAD6ED1CEEEB8EB"
"Inventario_Equipos_LE_EJ2026.xlsx","43479","0275792D36A0EFEF7556828AE742B7081D3BE46AD3523BB02309FA9D640F6321"
"InventarioEJ2026-LE.xlsx","143395","707D7640D8D79F6CEB3421E46AB61A83C70EB75EF2C97399C53D9318DD83A946"
